sample,c,n,c:n,tod,hourspostdusk
1-Jan,2.02,0.24,0.855,1,22
2-Jan,2.06,0.33,0.63,1,22
3-Jan,2.05,0.24,0.867,1,22
1-Mar,2.68,0.3,0.895,3,24
2-Mar,2.62,0.23,1.115,3,24
3-Mar,2.35,0.34,0.693,3,24
1-May,1.46,0.23,0.623,5,2
2-May,2.09,0.29,0.727,5,2
3-May,1.55,0.18,0.85,5,2
1-Jul,1.86,0.3,0.621,7,4
2-Jul,2.16,0.34,0.638,7,4
3-Jul,2.18,0.31,0.695,7,4
1-Aug,2.02,0.52,0.387,8,5
2-Aug,2.29,0.38,0.605,8,5
3-Aug,1.81,0.31,0.58,8,5
1-Sep,1.47,0.26,0.564,9,6
2-Sep,1.57,0.27,0.572,9,6
3-Sep,1.87,0.25,0.753,9,6
1-Oct,1.21,0.23,0.515,10,7
2-Oct,1.52,0.44,0.348,10,7
3-Oct,2.69,0.3,0.907,10,7
1-Nov,2.5,0.28,0.882,11,8
2-Nov,1.93,0.28,0.68,11,8
3-Nov,1.86,0.28,0.657,11,8
13-1,2.55,0.33,0.762,13,10
13-2,3.58,0.36,0.994,13,10
13-3,2.63,0.37,0.704,13,10
15-1,1.54,0.22,0.705,15,12
15-2,2.44,0.31,0.792,15,12
15-3,2.46,0.39,0.638,15,12
18-1,1.73,0.28,0.61,18,15
18-2,2.01,0.26,0.779,18,15
18-3,1.99,0.3,0.671,18,15
21-1,1.66,0.26,0.644,21,18
21-2,2.39,0.36,0.664,21,18
21-3,2.44,0.31,0.775,21,18
22-1,1.67,0.2,0.851,22,19
22-2,1.62,0.21,0.773,22,19
22-3,2.05,0.28,0.747,22,19
23-1,2.28,0.26,0.871,23,20
23-2,3.21,0.28,1.168,23,20
23-3,1.55,0.3,0.515,23,20
24-1,3.2,0.41,0.788,24,21
24-2,3.44,0.39,0.877,24,21
24-3,3.1,0.37,0.844,24,21
