todsamle,hourspastdusk,replicate,area,volume,acetred,perml
3,24,1,185,20,1.050543988,0.052527199
3,24,2,181,20,1.027829523,0.051391476
5,2,1,179,20,1.016472291,0.050823615
7,3,1,229,20,1.300403099,0.065020155
7,3,2,239,20,1.35718926,0.067859463
7,3,3,223,20,1.266331402,0.06331657
7,3,4,213,20,1.20954524,0.060477262
8,4,1,230,20,1.306081715,0.065304086
8,4,2,230,20,1.306081715,0.065304086
8,4,3,274,20,1.555940826,0.077797041
8,4,4,223,20,1.266331402,0.06331657
9,5,1,245,20.4,1.381142696,0.067703073
9,5,2,248,20.4,1.398054647,0.068532091
9,5,3,240,20.4,1.35295611,0.066321378
10,6,1,217,20,1.232259705,0.061612985
11,7,1,288,20,1.635441452,0.081772073
11,7,2,240,20,1.362867876,0.068143394
13,9,1,242,19.8,1.379222291,0.069657691
13,9,2,268,19.8,1.527403198,0.077141576
15,11,1,153,19.8,0.871987647,0.04403978
15,11,2,189,19.9,1.075209832,0.054030645
15,11,3,170,19.9,0.967119954,0.048598993
18,14,1,310,20,1.760371007,0.08801855
18,14,2,268,20,1.521869129,0.076093456
18,14,3,242,20,1.374225109,0.068711255
21,17,1,182,20,1.03350814,0.051675407
21,17,2,213,20,1.20954524,0.060477262
22,17,1,214,20,1.215223856,0.060761193
22,18,2,201,20,1.141401847,0.057070092
23,19,1,186,20.2,1.052381795,0.052098109
23,19,2,157,20.2,0.888300762,0.043975285
23,19,3,187,20.2,1.058039761,0.052378206
24,20,1,185,19.8,1.054364148,0.053250715
24,20,2,150,19.8,0.85488985,0.043176255
24,20,3,119,19.8,0.678212614,0.034253162
