trichotimeofday,diel2_1,diel2_2,diel2_3,diel4_1,diel4_2,diel4_3,diel6_1,diel6_2,diel6_3,diel8_1,diel8_3,diel9_1,diel9_2,diel9_3,diel10_1,diel10_2,diel10_3,diel11_1,diel11_2,diel11_3,diel12_1,diel12_3,diel14_1,diel14_2,diel14_3,diel16_1,diel16_3,diel19_1,diel19_3,diel22_1,diel22_2,diel22_3,diel23_1,diel23_2,diel23_3,diel24_1,diel24_2,diel24_3,diel1_1,diel1_2,diel1_3,teryparsed,KO,name,children__name,children__children__name,children__children__children__name,children__children__children__children__name,children__children__children__children__children__name,kid,kid2,kid3,kid4,kid5,kid6
Tery_4327 groL2 chaperonin GroEL [Trichodesmium erythraeum IMS101: NC_008312],368.61,495.51,434.96,553.04,596.78,395.15,434.95,495.57,367.42,432.66,347.73,805.37,598.52,375.87,718.74,614.96,482.19,577.08,817.46,341.33,434.17,330.79,468.21,753.1,312.62,433.42,369.53,619.56,325.03,492.14,834.29,408.43,575.73,614.8,413.95,542.23,635.44,378.5,333.42,715.73,384.22,Tery_4327,K04077,,,,,,,,,,,,
"Tery_4410 cbbL ribulose 1,5-bisphosphate carboxylase large subunit (EC 4.1.1.39) [Trichodesmium erythraeum IMS101: NC_008312]",323.32,323.44,275.68,677.74,636.08,264.44,322.67,384.35,270.16,439.59,245.97,354.1,447.1,270.03,439.61,434.69,409.73,515.15,479.2,261.43,321.41,219.03,514.75,188.98,278.27,379.4,337.31,395.83,243.28,551.41,431.11,255.59,533.6,397.81,292.11,599.58,409.12,221.48,296.12,539.3,240.06,Tery_4410,K01601,,,,Carbon fixation,,K01601,rbcL;,ribulose-bisphosphate,carboxylase,large,chain,[EC:4.1.1.39]
"Tery_4410 cbbL ribulose 1,5-bisphosphate carboxylase large subunit (EC 4.1.1.39) [Trichodesmium erythraeum IMS101: NC_008312]",323.32,323.44,275.68,677.74,636.08,264.44,322.67,384.35,270.16,439.59,245.97,354.1,447.1,270.03,439.61,434.69,409.73,515.15,479.2,261.43,321.41,219.03,514.75,188.98,278.27,379.4,337.31,395.83,243.28,551.41,431.11,255.59,533.6,397.81,292.11,599.58,409.12,221.48,296.12,539.3,240.06,Tery_4410,K01601,,,,Other carbohydrate metabolism,M00532  Photorespiration [PATH:map01200 map00630],K01601,rbcL;,ribulose-bisphosphate,carboxylase,large,chain,[EC:4.1.1.39]
Tery_3385 atpD ATP synthase F1 subcomplex beta subunit [Trichodesmium erythraeum IMS101: NC_008312],428.99,309.87,355.32,654.65,703.03,338.91,427.32,501.21,290.23,425.73,292.47,825.48,522.81,313.61,867.55,539.36,450.84,558.31,897.69,296.48,385.69,309.79,699.53,1021.1,307.81,443.47,393.68,522.92,261.22,730.27,869.51,294.12,466.9,812.5,366.34,646.5,957.51,283.19,291.55,793.03,276.43,Tery_3385,K02112,,,,ATP synthesis,,K02112,"ATPF1B,",atpD;,F-type,H+-transporting,ATPase,subunit
Tery_0270 groL1 chaperonin GroEL [Trichodesmium erythraeum IMS101: NC_008312],495.67,456.96,345.11,488.39,700.12,339.67,398.98,430.81,307.98,412.64,283.04,607.66,554.23,342.41,592.3,558.26,412.51,500.14,611.47,314.7,389.91,300.79,489.74,626.17,318.8,423.37,369.53,465.99,283.16,454.04,603.55,260.73,575.73,672.67,341.33,557.87,591.91,316.79,350.17,690.26,299.58,Tery_0270,K04077,,,,,,,,,,,,
Tery_0476 tuf translation elongation factor 1A (EF-1A/EF-Tu) [Trichodesmium erythraeum IMS101: NC_008312],304.45,287.03,360.43,546.12,541.47,320.68,383.72,439.26,318.02,317.95,274.95,613.25,492.81,305.05,675.95,501.56,472.44,499.2,739.4,303.48,345.65,305.29,490.44,657.2,306.44,420.86,357,407.74,271.86,491.08,644.84,141.28,470.41,571.41,288.07,535.28,539.69,286.62,285.46,619.33,270.48,Tery_0476,K02358,,,,,,,,,,,,
Tery_0998  Phycobilisome protein [Trichodesmium erythraeum IMS101: NC_008312],231.48,149.94,139.88,396.02,519.63,136.02,140.62,147.83,118.87,240.19,117.93,414.42,265.69,119.06,481.43,220.98,212.53,280.56,635.32,119.85,130.67,105.76,444.59,603.61,153.91,150.76,158.37,320.37,130.28,540.82,462.68,110.46,238.72,443.62,149.28,410.15,539.69,131.65,116.47,502.92,123.67,Tery_0998,K05377,,,,,,,,,,,,
Tery_2199 atpA ATP synthase F1 subcomplex alpha subunit [Trichodesmium erythraeum IMS101: NC_008312],196.25,137.09,174.6,312.89,425.02,155.02,187.5,223.85,145.89,163.21,128.04,412.18,249.98,148.64,362.77,226.79,213.92,220.51,583.28,143.68,173.88,147.77,317.47,561.3,154.59,234.93,162.84,219.76,136.26,322.8,383.75,168.25,238.72,320.66,163.81,252,530.98,142.62,147.68,402.88,135.57,Tery_2199,K02111,,,,ATP synthesis,"M00157  F-type ATPase, prokaryotes and chloroplasts [PATH:map00190 map00195]",K02111,"ATPF1A,",atpA;,F-type,H+-transporting,ATPase,subunit
"Tery_5049  phycocyanin, beta subunit [Trichodesmium erythraeum IMS101: NC_008312]",223.93,137.09,136.82,439.9,489.07,134.5,146.07,153.46,118.1,293.31,121.3,430.05,278.55,136.18,494.07,247.15,260.61,322.79,607.13,130.36,162.29,117.02,354.28,555.66,144.29,108.04,168.21,217.11,118.32,482.61,512.47,95.04,224.68,318.25,167.84,470.97,391.71,140.57,110.38,469.27,123,Tery_5049,K02285,,,,,,,,,,,,
Tery_4137 nifD Mo-nitrogenase MoFe protein subunit NifD precursor (EC 1.18.6.1) [Trichodesmium erythraeum IMS101: NC_008312],164.8,183.5,149.07,169.72,232.89,158.82,171.15,152.05,145.11,169.37,136.13,299.36,181.41,157.2,231.48,209.35,134.48,211.13,268.87,118.45,184.41,121.52,241.75,524.63,137.42,160.81,255.89,377.29,213.37,263.53,454.18,169.54,294.89,311.02,191.24,258.95,452.64,154.97,172.8,301.02,164.67,Tery_4137,K02586,,,,Nitrogen metabolism,,K02586,nifD;,nitrogenase,molybdenum-iron,protein,alpha,chain
